F3_t,F3_a,Fz_t,Fz_a,F4_t,F4_a,C3_t,C3_a,Cz_t,Cz_a,C4_t,C4_a,P3_t,P3_a,Pz_t,Pz_a,P4_t,P4_a,F3_P2,Fz_P2,F4_P2,C3_P2,Cz_P2,C4_P2,P3_P2,Pz_P2,P4_P2,F3_N2,Fz_N2,F4_N2,C3_N2,Cz_N2,C4_N2,P3_N2,Pz_N2,P4_N2,label
98051.81113028056,60728.137367941104,109393.65174315771,63582.96292429618,92916.09810796293,60909.67524995812,61232.62447971671,56653.749741570144,72024.47839277177,60721.0590392251,72896.65137547645,61423.261774187995,49643.51156770791,49498.37914593556,64378.712200944545,54199.13929150609,49418.013412213695,52141.39056168744,7.45161247253418,5.40406131744385,8.19965744018555,5.86617851257324,4.50222539901733,3.09333944320679,9.51924610137939,6.13945770263672,4.72408580780029,-9.02465343475342,-5.03720474243164,-6.83965539932251,-6.05521821975708,-7.90878009796143,-7.75578022003174,1.1891450881958,-12.5635576248169,-7.72628927230835,0
126094.92082789615,33799.71407078602,169104.82262966014,67636.3308891863,85823.00096393401,49493.55326669215,68121.6413328352,27140.366355603666,51088.77105318913,28671.509979459406,43007.94519827589,34520.57079046545,29168.202904958758,30367.295178724224,33767.1813319304,32325.693646992175,28909.905152150037,30353.070905553723,10.9656658172607,16.3349094390869,17.6669769287109,9.98458671569824,9.79869365692139,9.31965351104736,6.636898994445799,8.29019069671631,9.99280071258545,-6.8030319213867205,-5.3307900428772,-5.04449462890625,-10.9401407241821,-14.6140089035034,-7.59478807449341,-8.60821342468262,-7.62274217605591,-0.499978631734848,0
83982.00942455437,39436.94559152641,114118.47648601212,52005.316698399496,88381.06202752219,41928.19777316091,59187.479960071345,37970.19666675816,69147.90593480531,48579.17799055067,40922.875208770616,58114.64909932513,41369.33777447284,28124.16473631159,49408.46280287057,57324.03341355239,33671.934013131824,61227.89513779538,16.8668365478516,14.157523155212399,20.1002368927002,9.539231300354,6.9143967628479,9.41220760345459,9.89117336273193,13.312730789184602,12.8796710968018,-16.629467010498,-26.2075290679932,-15.9862270355225,-12.8416404724121,-9.62889671325684,-14.505882263183599,-9.49282836914062,-13.0535249710083,-9.65735816955566,0
69751.95401100122,40109.24378365646,111658.5850459864,51218.711682016416,38979.818845524846,45815.69871913377,47778.95764425318,42698.338833094494,40366.01815030652,53408.32238662612,37952.902523045595,46944.42591862366,46260.32461892384,34916.497102971436,29519.833833438017,56925.82437684864,27339.100484482526,40908.45762572924,12.7656497955322,20.3525733947754,7.2229151725769,8.401291847229,8.70210742950439,10.5017948150635,13.7281150817871,7.56432628631592,10.2245445251465,-8.80735969543457,-8.7239933013916,-9.24413681030273,-4.17113733291626,-4.2903847694397,-4.84732389450073,-8.12970638275146,-6.676897525787351,-0.9008145332336429,1
31203.933413707502,52413.67454719166,57070.59320129044,44836.31072672154,34846.965046756115,30951.675974136226,56731.79298339535,49672.96885342604,46927.29912659191,60582.38909942907,41857.36705472577,58096.48501968207,35755.60566488592,68572.07208398543,44882.52960815394,137319.17754900924,32237.98813563403,149116.63092045794,14.1120204925537,16.7372303009033,13.3568801879883,14.8312177658081,16.1768741607666,13.2686319351196,17.7678966522217,17.1919937133789,19.7472343444824,-16.5002384185791,-17.4925594329834,-9.68514442443848,-18.6895294189453,-19.9894504547119,-19.7820491790771,-19.3236560821533,-19.4306602478027,-15.301090240478498,1
82268.88899945722,78805.09081346398,112410.88242996878,79126.01220586477,65394.42372333091,69295.4845694724,59108.47062986016,66990.23649504501,69330.92413144001,67660.99414657104,66564.00383352827,68143.0859489987,43699.78125645261,60837.916169105374,64589.46796722286,70793.43015232495,52357.44109258242,52752.53255242875,3.31865787506104,5.90204477310181,7.45176410675049,3.7767164707183793,5.76759481430054,2.39459729194641,6.59783601760864,10.5682640075684,11.0628728866577,-7.03647375106812,-6.5242619514465305,-12.2995615005493,-4.09002876281738,-6.52677392959595,-9.6642370223999,-6.56562805175781,-6.554152488708499,-4.29840612411499,0
93497.04442895034,53994.869634511764,116860.16801012518,64074.43283065213,89606.48305503091,57967.22940402984,69995.26503839811,55098.946006082275,63364.340281003446,64280.41640786149,68141.16946647191,55512.85125149531,31433.9855894014,50173.524114386404,53158.674022495536,53887.58410338407,39458.40248189462,54518.67946225244,17.6218967437744,18.5863876342773,16.0410118103027,15.7289009094238,17.7070121765137,16.8682479858398,12.4314250946045,11.2894344329834,13.9678134918213,-7.00497245788574,-13.1900291442871,-7.74768209457397,-8.48640060424805,-10.4054174423218,-11.497260093689,-8.09511852264404,-16.3178653717041,-13.006749153137202,1
218385.6257288367,115172.31467753854,222494.96701471726,153835.62512487418,276983.65132913645,140434.6557192471,154768.99798857013,104996.21145030849,160016.51975457568,127055.84899940947,206480.8237508582,128622.54955334745,85094.13799377851,89998.15526160807,98401.2287152918,166275.70922599838,113207.69547791743,131005.8401328484,10.7347803115845,12.1113033294678,12.763542175293,0.0123494807630777,10.519998550415,5.20219230651855,5.62451219558716,6.767471790313719,4.68823671340942,-14.263713836669899,-15.7483501434326,-13.026725769043,-16.1546859741211,-21.92799949646,-17.2046546936035,-19.5945987701416,-20.5002994537354,-22.7997169494629,1
158218.14664062057,79925.2934324392,142056.67383741663,71841.92357179603,144003.40453821525,103742.25116627448,103459.03812518506,69064.12862431396,101650.89751924714,60170.051185149576,88432.07216706232,58758.436833245316,88294.83044392154,47171.015173245025,102768.24911363999,52362.48663104064,64607.05593801213,57795.74632183443,10.6612062454224,10.6020545959473,4.28685760498047,2.67309021949768,9.19282531738281,7.65724849700928,14.0938138961792,15.054705619812001,11.403923034668,-19.6768836975098,-16.6115856170654,-19.1715049743652,-13.1243457794189,-11.7204113006592,-15.0174703598022,-14.1137218475342,-10.5381679534912,-13.4783010482788,1
85741.90661123546,61539.77241373981,115883.54189188617,77105.98946067723,90439.34731964643,73572.00398784546,63817.69696635897,68805.07940139218,62355.354051864146,78539.11977001677,60470.65342320846,73095.91914628963,50410.60484465453,48099.755031097586,48085.03923866633,75143.12569328274,40832.43912410798,76289.47125083295,5.04623317718506,1.08381462097168,11.0425815582275,5.54412412643433,6.975113868713381,15.1435403823853,9.05344390869141,13.6415348052979,9.95433235168457,-12.5176267623901,-16.2970943450928,-12.1601648330688,-8.50402450561523,-11.7485675811768,-8.01112079620361,-7.32931709289551,-12.1018095016479,-4.93785572052002,1
