F3_t,F3_a,Fz_t,Fz_a,F4_t,F4_a,C3_t,C3_a,Cz_t,Cz_a,C4_t,C4_a,P3_t,P3_a,Pz_t,Pz_a,P4_t,P4_a,F3_P2,Fz_P2,F4_P2,C3_P2,Cz_P2,C4_P2,P3_P2,Pz_P2,P4_P2,F3_N2,Fz_N2,F4_N2,C3_N2,Cz_N2,C4_N2,P3_N2,Pz_N2,P4_N2,label
117856.43041845426,101306.07572503212,105417.8616946066,95181.47325660368,114925.64698700674,108768.55704984798,116169.55982035727,106707.27487394869,131543.4823964043,112568.83168002081,116153.02033454514,107043.37087891834,121902.94473057929,84987.65491992964,120164.82490077286,98882.0826910591,105822.02851068784,121661.13381234788,8.52889156341553,13.9043397903442,11.7979583740234,13.106698989868198,15.6694831848145,21.1129131317139,13.2007141113281,11.2201690673828,12.0838413238525,-18.0974216461182,-16.1593742370605,-17.98681640625,-13.8576679229736,-14.4968919754028,-14.988278388977102,-10.4436864852905,-11.6542587280273,-10.5777416229248,0
53247.60905813991,47981.79007542142,62369.27521044048,39554.195162444405,60525.255995233834,40280.52475786567,62186.41675653426,36359.923198510696,83340.14564878703,40072.43703381725,70600.52542226654,33073.95239975153,49610.48605814907,33461.512385921786,71433.82359360646,27941.08981341546,63715.23932173585,24475.32483818418,14.7660961151123,12.855211257934602,12.7234954833984,11.5222301483154,10.6679172515869,5.96630525588989,10.8795623779297,6.02154445648193,7.984866142272951,-21.3611259460449,-18.3735885620117,-24.5215530395508,-9.7827262878418,-14.5391206741333,-13.7573175430298,-3.01464891433716,-9.1785945892334,-7.74918842315674,1
52837.71220039095,60011.16942893434,56095.785247133805,57958.87236527866,53655.06853455438,55494.358570880315,38526.85228222977,53052.27574368074,63101.88225482461,65403.91218883884,56263.764937942695,48765.70802204255,33512.763396094204,44729.67638756462,32943.794256742956,42220.51866980418,34054.66573922229,33397.79110375749,16.9362888336182,13.349843978881802,14.319189071655298,10.7333784103394,13.937734603881802,11.0793190002441,9.8979434967041,11.9755725860596,11.4099321365356,-19.5250549316406,-17.6152229309082,-17.0927925109863,-18.5449314117432,-18.2255001068115,-24.0943927764893,-17.7029132843018,-16.3633136749268,-17.9060573577881,1
53681.85079365376,29253.33502719848,74043.52760869291,35126.13728597837,81255.27272344858,34076.057517890644,51908.68481764845,37406.2963879948,85308.45649078772,40989.93262655307,77128.34773604873,29861.08995730769,44635.12417500628,47599.583993980836,63326.24994454862,35776.727758101755,53566.521609082636,27183.640803201517,22.2311496734619,21.3454246520996,16.4766120910645,27.7483348846436,23.2469425201416,6.68746948242188,17.6292896270752,11.6225852966309,9.59391784667969,-18.911771774292,-19.1037216186523,-14.7367649078369,-14.8942384719849,-17.5193138122559,-8.87431812286377,-7.40174293518066,-11.3810539245605,-5.07269239425659,1
61415.65513201421,58395.43331403446,66496.31561870017,53850.28292253559,72103.83541407433,47675.23904771472,73221.93010095535,55255.61859976711,100742.6837020537,69971.96882304148,79809.62569456961,56962.23113341307,49076.41787471813,42860.98377790912,74360.78644261503,62212.89510467576,62234.04010075793,63299.41985827353,18.4747085571289,16.1605892181396,17.8725242614746,15.2482671737671,14.197151184082,11.6362371444702,9.97377681732178,12.0538387298584,10.9313182830811,-23.3067226409912,-25.8348045349121,-29.4865856170654,-25.1298065185547,-28.8003807067871,-24.0257091522217,-20.9779357910156,-23.4722938537598,-20.4145240783691,1
60606.590787260924,35239.69426963302,75383.34238809595,32664.424227260268,73716.54727916475,44243.403596258235,61363.27612377495,17000.33731592622,60845.86035859193,31188.181080666265,68533.08943198255,36731.16121985751,90964.55781587944,28079.414382212057,65191.1758954363,33602.18902787194,54688.85083714299,34901.59860618567,16.9920902252197,12.387375831604,9.94976139068604,15.812397956848098,10.531512260437,9.23108291625977,10.6098957061768,6.829758644104001,8.46394634246826,-14.132420539856,-8.41593265533447,-11.2863130569458,-12.1753988265991,-14.5126972198486,-12.4732275009155,-10.628960609436,-10.1894617080688,-8.46625137329102,0
78684.75825657447,62836.607297118186,73379.0810260643,68347.26916517218,69462.3065670751,78997.90246674858,65771.84349754352,58398.30514964546,63297.771266843454,83249.43880387567,61828.19585336583,68458.74842424082,71835.39388076273,45898.8760081158,52073.03285400197,54566.864571922924,46112.59193885167,53778.24866310953,18.0870399475098,15.8550281524658,16.1512260437012,20.8320369720459,16.2812404632568,11.5202074050903,15.952241897583002,11.7045288085938,4.08334159851074,-19.3023986816406,-10.5481739044189,-11.3419857025146,-18.5674324035645,-8.94998168945312,-10.6106119155884,-18.1338310241699,-13.347906112670902,-12.7258100509644,1
81082.92824679408,112633.12979305223,80824.98687177719,110916.11907570071,74774.2459785719,117684.33976889991,57913.191206339725,100017.00239230343,67817.06992199749,125234.73688278014,55018.990500035965,94042.62639740072,37787.85595373538,47644.22061857507,37252.41226094409,55635.901574436735,46751.46990246223,44972.93742827117,7.2718620300292995,2.23324227333069,1.98977744579315,3.15312957763672,8.13948822021484,5.87103891372681,5.72980451583862,9.3469295501709,11.3774681091309,-8.89157581329346,-3.56125330924988,-7.705286026000979,-2.58613038063049,-4.33241558074951,-2.49200558662415,-3.7244367599487296,-5.32989025115967,-3.2815625667572,1
82215.41800500965,98876.18058292728,89942.13423795074,95910.200497394,88914.53799420613,82650.84337348057,86135.93569816614,100250.5170159499,102737.61289888201,92790.34512312102,63832.847721642414,73378.81341663883,65416.1582864746,64448.508520811425,61902.82401246389,65127.35775974415,40954.84042454116,50096.86455088786,37.3930168151855,26.4994029998779,22.9121150970459,29.4472122192383,33.6521606445312,33.2440528869629,20.2046737670898,26.2006683349609,27.647199630737298,-37.7099266052246,-28.890926361083995,-35.5223579406738,-28.573318481445302,-25.0977764129639,-30.415069580078104,-22.6884880065918,-18.4353618621826,-19.520658493042,0
394873.42793931335,111267.70690538686,316175.8931844167,87512.16241815168,335467.54132529086,146053.1993708781,292273.3974529642,111850.55997416031,340939.6121526664,150165.9519454179,248753.82343897413,130587.9425228893,129408.8806441314,127346.75835631358,179665.53140861267,127109.68417708985,135763.05686432554,92778.76734690634,49.7641906738281,25.140661239624,26.858001708984396,35.0447425842285,25.7065086364746,25.8562049865723,14.3773002624512,16.5013084411621,16.9247207641602,-28.7572021484375,-14.4078731536865,-14.963159561157202,-7.276895046234129,-7.12208032608032,-6.24209642410278,5.41571569442749,-5.02039241790771,-6.98654460906982,1
42559.98232147412,109511.44577662062,38957.407989729894,82953.26800029572,34781.58484412634,80663.16136034718,47762.38668529429,84392.70180344791,60675.04152304952,97836.66647866702,53830.25474281,88006.97935922098,39218.71742488997,70099.60471644865,50000.16156320319,78721.14044301567,49582.741062824665,61861.77188140036,22.4101047515869,18.6222553253174,21.132417678833,21.063497543335,18.4668064117432,15.169750213623,12.1550817489624,16.029016494751,13.8192415237427,-36.3981285095215,-14.8467397689819,-18.8578109741211,-13.5106201171875,-8.96641731262207,-11.3514471054077,-7.65554666519165,-10.4935102462769,-10.9925584793091,1
175099.9016831338,125529.2722010423,185687.7964657281,103746.22321386846,158266.15955477767,130076.43221078788,123501.92537175339,133486.72379142034,191154.1954596283,166060.1622453914,152968.4592724993,217217.27769406646,103536.28581311081,118108.9675822659,131703.02596740655,155142.24061342175,115460.86507094947,170854.21221737357,35.5605087280273,31.0760765075684,40.333366394043,33.1662139892578,36.337474822998,38.5453567504883,26.0588226318359,28.4361572265625,23.7849540710449,-25.4427700042725,-28.1252040863037,-29.9117984771729,-19.3092937469482,-20.1593742370605,-14.604455947876,-11.9417419433594,-9.93885898590088,-7.677506446838381,1
101485.4562397233,82719.46919857532,87262.65543719653,60465.863374138986,78354.24594820848,69814.31978623784,138357.48360898742,66711.17579181184,200541.28039796435,60720.19101465311,153968.7045974451,63957.29340412415,122303.57573550832,55898.5357056293,189567.481405273,64432.70327356578,154402.48742057037,63086.202316967494,28.8302135467529,20.5287551879883,21.3882255554199,16.5733299255371,22.3840408325195,20.1295299530029,10.0264778137207,13.7171039581299,15.0259733200073,-19.2179431915283,-13.6335306167603,-20.0583000183105,-14.3205194473267,-21.245885848999,-22.1200675964355,-14.314799308776902,-18.3873138427734,-18.7457027435303,1
418709.0438990212,372756.98583799275,348892.84589185094,311005.900230772,377860.3833978572,288502.99500266364,279384.0466948012,247534.37426094664,428421.21761918644,337020.93766453926,333808.2128485812,240852.36078001343,255154.61617287344,230899.7816462806,325268.5341728288,322076.1606351642,576184.709383567,363634.85580863163,30.7815380096436,15.717965126037601,27.603752136230504,8.19595336914062,8.25919342041016,14.042126655578603,3.23674774169922,0.8399350643157961,3.45458483695984,-23.3325214385986,-17.5303039550781,-16.2706508636475,-13.9225769042969,-18.7851829528809,-11.8178796768188,-9.15367603302002,-10.1128635406494,-7.132956027984621,1
109438.48571742076,97221.44348969018,88604.17322641054,83103.34239075538,95565.25299941111,92704.27012398033,73039.8101742393,80521.30875420284,104479.18931370432,82005.61391097495,66587.53206207942,64068.104394987175,74164.12117244372,49548.517415768045,71463.41959560604,46035.24969129989,50219.275264387325,31805.233692296748,33.2708282470703,37.6916732788086,36.8904991149902,28.4990272521973,21.0954856872559,16.5068454742432,15.5587606430054,12.1816473007202,18.7298355102539,-25.562032699585,-22.4143905639648,-24.3807125091553,-16.738748550415,-13.0279006958008,-7.01320743560791,-7.33034610748291,-4.60625314712524,0.146376371383667,1
